AccountName,Name,Subscribers,Views,Likes,Comments,Shares
yossikramer,Yossi,145.6K,26.8M,2.2M,30.1K,71.2K
mrbeast,MrBeast,55.6M,38.1M,3.8M,19K,7.8K
adinross,adin,5.4M,16.6M,2M,10.9K,12.5K
daniel.labelle,Daniel LaBelle,27.9M,11.8M,1.7M,6.9K,29.3K
hotspanishmx,HotSpanish,8.2M,19.2M,1.7M,7.4K,9.5K
nicocaponecomedy,nicocapone.comedy,24.3M,16.9M,952.9K,5.6K,27.3K
juandamc,JuanDa.,19.1M,9.2M,2.2M,11.1K,9.3K
amauryguichon,Amaury Guichon,17.6M,12.4M,2M,5.8K,11.3K
thezachchoi,Zach Choi,8M,14.2M,1.5M,5.4K,13.3K
bdylanhollis,B. Dylan Hollis,9.2M,6.4M,1.3M,6.3K,39.5K
janneksplace,Janneksplace,1.9M,11.6M,1.5M,8.8K,11.4K
twice_tiktok_official,TWICE,18.4M,8M,1.6M,15.9K,10.6K
kyliejenner,Kylie Jenner,49.1M,14.5M,2.5M,5.5K,3.4K
niallhoran,Niall Horan,4.6M,4.1M,1.2M,31.6K,23.7K
txt.bighitent,TOMORROW X TOGETHER,18.5M,4.3M,1.5M,29K,11.2K
khaby.lame,Khabane lame,152M,15M,1.8M,6.5K,3.2K
vibin.wit.tay,Tay,5.1M,4.2M,897.3K,7.7K,39.6K
steve.lacy,steve lacy,1.3M,8.2M,1.4M,12K,2.9K
taylorswift,Taylor Swift,15.3M,6M,843.1K,21.3K,10.6K
iamferv,Fernanda,32.9M,8.6M,1.3M,7.7K,4.5K
poudi,Poudii,145.9K,8.1M,1.2M,4K,9.9K
mikaylahau,Mikaylah,5.4M,7.6M,559.2K,18.4K,12.5K
onwardwanna,Wanna🥊,8.3M,6.7M,1.3M,9.9K,3.1K
adamsheey,Adam Shi,6.7M,7.3M,1.2M,3.4K,9K
lokiandthetesseract,-ʟᴇɴᴀ-,427K,4.6M,1M,5.8K,15.4K
domelipa,domelipa,60.5M,9.1M,1.2M,6K,2.7K
